Country,Projects,Frontier_Index,Originality_Density,SpecUtil_Ratio,NDS,HHI,Infra_Dependency,AI_Saturation,Top_Archetype
India,437,0.8695652173913043,0.21739130434782608,1.6973125884016975,0.13729977116704806,51.683781137252645,0.6773455377574371,0.4462242562929062,ONCHAIN_PREDICTION_MARKET
Nigeria,313,0.8881789137380192,0.25878594249201275,2.1420765027322406,0.11182108626198083,53.792526207269646,0.5463258785942492,0.40894568690095845,AI_TRADING_COPILOT
United States,193,0.9378238341968912,0.24352331606217617,1.5082555635319452,0.08808290155440414,63.08894198501974,0.5751295336787565,0.48704663212435234,ONCHAIN_PREDICTION_MARKET
Indonesia,166,0.8674698795180723,0.18674698795180722,2.040217391304348,0.1686746987951807,144.43315430396285,0.6325301204819277,0.3072289156626506,UNKNOWN
Brazil,145,0.9310344827586207,0.30344827586206896,2.4220779220779223,0.1103448275862069,83.23424494649228,0.7034482758620689,0.3793103448275862,UNKNOWN
United Kingdom,102,0.9313725490196079,0.23529411764705882,1.1738095238095236,0.10784313725490197,115.34025374855824,0.7058823529411765,0.37254901960784315,ONCHAIN_PREDICTION_MARKET
China,95,0.8210526315789474,0.21052631578947367,1.8117870722433456,0.21052631578947367,182.82548476454292,0.6421052631578947,0.6,WALLET_SECURITY_SCANNER
Pakistan,93,0.8817204301075269,0.20430107526881722,2.3225806451612905,0.12903225806451613,149.15019077349987,0.6666666666666666,0.3118279569892473,AI_TRADING_COPILOT
Germany,82,0.975609756097561,0.2804878048780488,2.1729166666666666,0.06097560975609756,127.90005948839976,0.6829268292682927,0.3780487804878049,AI_AGENT_ORCHESTRATION_PLATFORM
Ukraine,81,0.9259259259259259,0.24691358024691357,1.562152133580705,0.14814814814814814,160.03657978966618,0.7037037037037037,0.32098765432098764,ONCHAIN_PREDICTION_MARKET
Canada,79,0.9873417721518988,0.17721518987341772,1.5660714285714283,0.06329113924050633,129.7868931261016,0.6962025316455697,0.379746835443038,RWA_TOKENIZATION_PLATFORM
Poland,68,0.8823529411764706,0.23529411764705882,1.2090163934426228,0.19117647058823528,246.5397923875432,0.6176470588235294,0.3382352941176471,UNKNOWN
Turkey,67,0.835820895522388,0.2537313432835821,1.6210526315789475,0.23880597014925373,233.90510135887723,0.7910447761194029,0.5671641791044776,UNKNOWN
Kazakhstan,56,0.8928571428571429,0.23214285714285715,2.6142322097378274,0.17857142857142858,235.96938775510202,0.5892857142857143,0.48214285714285715,UNKNOWN
Georgia,54,0.9259259259259259,0.2222222222222222,3.3778801843317976,0.16666666666666666,219.47873799725647,0.7777777777777778,0.46296296296296297,UNKNOWN
Ireland {Republic},54,0.9814814814814815,0.25925925925925924,2.2880794701986757,0.09259259259259259,192.0438957475994,0.6851851851851852,0.4074074074074074,ONCHAIN_PREDICTION_MARKET
Malaysia,53,0.9245283018867925,0.33962264150943394,1.6492753623188405,0.18867924528301888,224.27910288358848,0.6792452830188679,0.5094339622641509,AI_TRADING_COPILOT
Spain,52,0.9423076923076923,0.25,1.9186991869918704,0.19230769230769232,214.49704142011834,0.5961538461538461,0.38461538461538464,AI_TRADING_COPILOT
Nepal,51,0.9803921568627451,0.39215686274509803,2.8991935483870965,0.0392156862745098,203.7677816224529,0.7254901960784313,0.35294117647058826,AI_AGENT_SECURITY_LAYER
Japan,36,1.0,0.2777777777777778,1.5000000000000002,0.08333333333333333,277.77777777777777,0.6666666666666666,0.5555555555555556,AI_CODE_GENERATION_PLATFORM
Australia,35,0.9714285714285714,0.34285714285714286,1.9047619047619047,0.11428571428571428,302.0408163265306,0.7142857142857143,0.42857142857142855,ONCHAIN_PREDICTION_MARKET
United Arab Emirates,35,0.9714285714285714,0.08571428571428572,1.1438596491228072,0.2,302.0408163265306,0.5714285714285714,0.4,PREDICTION_MARKET
